,predict,relation
19582,PersonY feels grateful.,xIntent
19583,PersonX watches a movie.,xAttr
19584,PersonY evaluates the view presented by PersonX.,xAttr
19585,new products to attract customers.,xWant
19586,PersonX books airplane tickets.,xNeed
19587,PersonX cooks a meal == prepares dinner for his family.,xIntent
19588,own strengths,xEffect
19589,PersonX lies very still.,xIntent
19590,PersonY makes an appointment with a chiropractor.,xNeed
19591,PersonX puts on sunglasses.,xNeed
19592,PersonX makes new friends at the playground.,xWant
19593,PersonX lines up for a roller coaster ride == screams with excitement.,xEffect
19594,PersonX always liked to travel.,xReact
19595,PersonX performs another successful experiment.,xReact
19596,PersonX takes a course to take advanced courses.,xWant
19597,Person X looks at Person Y and thanks them.,oEffect
19598,PersonX cooks spaghetti instead.,xWant
19599,PersonY feels grateful and appreciative.,xReact
19600,"PersonX attacks another person to get away, to run for help.",oWant
19601,To check if the car has been damaged.,xWant
19602,PersonX reaches the finish line.,xAttr
19603,PersonX sees his name mentioned in the article.,xWant
19604,to set up a budget so they dont get in so much debt again.,xWant
19605,PersonY gets busy.,xWant
19606,PersonY forgives PersonX.,oWant
19607,PersonY becomes intrigued by PersonX's ideas.,xAttr
19608,PersonX makes a pros and cons list.,xIntent
19609,PersonX paints the living room to change the wall color.,xNeed
19610,PersonX starts speaking in rhymes.,xAttr
19611,"To achieve success, PersonX markets PersonY's program.",xWant
19612,He begs for money.,xEffect
19613,PersonX receives a phone call.,xReact
19614,PersonX buys ice cream for the children.,xWant
19615,PersonX thanks the waitress for her excellent service.,xIntent
19616,PersonX bakes cookies for their neighbors.,xWant
19617,PersonX volunteers at a local school.,xIntent
19618,PersonY forgives PersonX.,xReact
19619,PersonX buys cat food and litter.,xWant
19620,PersonX counts the money earned.,xReact
19621,PersonX uses recycled materials to create a new art project.,xAttr
19622,PersonY receives a surprise.,xNeed
19623,PersonX appreciates fully the beautiful artwork.,xWant
19624,PersonY smiles.,xReact
19625,PersonX gives PersonY a hug.,xAttr
19626,PersonX changes their plans accordingly.,xAttr
19627,PersonX replaces old light bulbs with LED ones.,xAttr
19628,PersonX asks PersonY for help.,xEffect
19629,PersonX throws a ball up in the air.,xIntent
19630,PersonX feels emotionally overwhelmed.,xReact
19631,PersonX becomes tired.,xEffect
19632,PersonX feels sick.,xIntent
19633,PersonX awards PersonY with a trophy.,xWant
19634,PersonY becomes more knowledgeable.,oEffect
19635,PersonX pushes away the annoying insect.,xWant
19636,PersonY falls head over heels.,xEffect
19637,PersonX is found unconscious in the fire.,xNeed
19638,PersonX understands what PersonY is trying to communicate.,xReact
19639,PersonY feels grateful for the help from PersonX.,xIntent
19640,PersonX finishes writing the letter.,xReact
19641,PersonX starts a new workout routine.,xIntent
19642,PersonX shakes hands with the man.,xNeed
19643,PersonX ponders deeply on the topic.,xAttr
19644,PersonX and PersonY dance together at the party.,xAttr
19645,PersonX wipes PersonY's mouth because PersonY spilled food.,xReact
19646,PersonX expects PersonY to complete the work.,xAttr
19647,PersonX finishes the project early.,xIntent
19648,PersonX and PersonY go on a date.,xAttr
19649,PersonX laughs.,xEffect
19650,PersonX reveals a stylish hairstyle.,xIntent
19651,PersonX gets confused easily.,xAttr
19652,PersonX shares a story with PersonY.,oWant
19653,PersonX puts a jacket on PersonX's back.,xAttr
19654,PersonX finds the lost dog.,xReact
19655,PersonY feels grateful and thanks PersonX.,xAttr
19656,PersonX is upset.,xIntent
19657,PersonX logs on and checks their email.,xEffect
19658,PersonX timidly asks PersonY for advice.,xAttr
19659,PersonX reminds PersonY of an important appointment.,xAttr
19660,PersonX meets PersonY at a party.,xAttr
19661,PersonX pledges their allegiance to PersonY.,xIntent
19662,PersonX displays carved pumpkins.,xReact
19663,to plan the next event,xWant
19664,PersonX works multiple jobs.,xIntent
19665,PersonX's team wins the game.,oReact
19666,PersonX searches through their belongings.,xReact
19667,PersonX starts working on a new project.,xAttr
19668,PersonX smiles and claps.,oWant
19669,PersonX introduces themselves to new people.,xAttr
19670,PersonX finishes a marathon.,xAttr
19671,PersonX tries to contact PersonY to explain the situation.,xReact
19672,PersonX needs to work on their upper body strength.,xAttr
19673,PersonX gets hired as a translator and gets free trips to assist in translating.,xEffect
19674,PersonX seeks therapy.,xWant
19675,PersonY explains the situation to PersonX.,xReact
19676,PersonX makes sure PersonY takes breaks throughout the day.,xIntent
19677,PersonX enjoys the thrill of the ride.,xNeed
19678,PersonX swallows the pills and feels sleepy.,xEffect
19679,PersonX accomplishes a challenging task.,xReact
19680,PersonX is no longer thirsty.,xAttr
19681,to agree with PersonX.,oWant
19682,PersonX gets invited to join a band.,xEffect
19683,PersonX realizes they left their keys at work.,xWant
19684,PersonX helps PersonY find a new job.,xAttr
19685,PersonX adopts a puppy.,oWant
19686,PersonY thanks PersonX.,xIntent
19687,PersonX is stressed about keeping up with the demands.,xReact
19688,PersonX leaves PersonY waiting behind.,xAttr
19689,PersonX makes the bed == PersonX is organized.,xReact
19690,PersonX shouts at PersonY.,xNeed
19691,PersonX feels grateful for the recognition and respect.,oReact
19692,He swam up.,xEffect
19693,PersonX can enjoy fresh homemade cookies.,xReact
19694,PersonX slams the door.,xReact
19695,PersonX lies down on the bed and closes their eyes.,xReact
19696,PersonY opens the door.,oWant
19697,PersonX takes a nap.,xReact
19698,PersonX goes rollerblading.,xIntent
19699,"""PersonX asks for permission to play.""",xNeed
19700,PersonX returns to their home country.,xReact
19701,PersonY prepares for battle.,xIntent
19702," ""company executives""",oWant
19703,PersonX helps PersonY organize their finances.,xIntent
19704,PersonX finds the dress she was searching for.,xReact
19705,PersonX rescues the trapped person.,xIntent
19706,PersonX gains knowledge.,oEffect
19707,PersonX finishes the house.,xEffect
19708,PersonX sees a baby elephant.,xReact
19709,"PersonX says ""you're welcome"".",oWant
19710,PersonX gets another blanket.,xEffect
19711,PersonX decorates for Christmas to spread holiday cheer.,xIntent
19712,PersonX skins the sheep.,xWant
19713,PersonX takes her sister to the mall.,oReact
19714,PersonX throws away the old brush.,xEffect
19715,PersonX realizes they spilled their drink on their shirt.,xIntent
19716,"PersonX discusses in detail the Civil War == gains knowledge as a result of the discussion, makes notes in his/her notebook",xEffect
19717,word,xEffect
19718,PersonX gets promoted.,xAttr
19719,PersonX expresses PersonY's views.,xNeed
19720,PersonX sums up the situation.,xEffect
19721,PersonX makes a face == gets laughed at.,xEffect
19722,PersonX works another overtime shift.,xEffect
19723,PersonX finishes a project.,xReact
19724,PersonX gets slapped for it.,xWant
19725,PersonX wants to see PersonY's face.,xIntent
19726,PersonX tries every recipe from a cookbook.,xEffect
19727,PersonX gets a lawyer.,xNeed
19728,PersonY looks for sunglasses.,xNeed
19729,PersonX takes their family to Disney World.,xAttr
19730,PersonX receives resolution to the problem.,xEffect
19731,"""PersonX goes to bed.""",xEffect
19732,PersonX reports PersonY to the police.,oWant
19733,PersonX sweats and catches their breath.,xIntent
19734,PersonX wins a trip to Hawaii.,xNeed
19735,PersonY decides to use the gifts they received.,oEffect
19736,PersonX gallops their own horse onward.,oWant
19737,PersonX misses the show.,xAttr
19738,PersonX reads a bedtime story to PersonY.,xAttr
19739,PersonX will be able to feed their family because of being a very hard worker.,oEffect
19740,Person X regrets overspending.,xEffect
19741,PersonX advises PersonY to prioritize their own well-being.,xAttr
19742,PersonX chooses a destination for their vacation.,xAttr
19743,PersonX always tries to be willing.,xIntent
19744,PersonX keeps talking.,oWant
19745,cash from the ATM,xWant
19746,PersonX bakes a delicious cake.,xReact
19747,PersonX takes PersonY's toddler.,xNeed
19748,PersonX socializes with new people.,xReact
19749,PersonX sees that PersonY is wearing mismatched socks.,oReact
19750,Moves feet away.,oEffect
19751,PersonX puts a cake in to bake.,xAttr
19752,PersonX goes to the grocery store.,xIntent
19753,PersonX reads the newspaper.,oWant
19754,PersonX arrives at their destination.,xWant
19755,PersonX takes PersonY's toddler.,oWant
19756,PersonY expresses their gratitude and thanks PersonX for naming their lily.,xEffect
19757,PersonX hits a home run.,xAttr
19758,PersonY packs their bags.,oWant
19759,a stray cat,xEffect
19760,PersonX refers the proposal to the committee.,xNeed
19761,PersonX takes a break.,xReact
19762,PersonX undertakes another challenge.,xReact
19763,PersonY thanks PersonX and PersonX smiles.,xEffect
19764,PersonX finishes their meal.,xWant
19765,PersonX moves to a new house near PersonY.,oReact
19766,To make a plan for fertility testing.,xNeed
19767,PersonX arrives at their destination.,xIntent
19768,PersonX takes off the apron.,xReact
19769,"PersonX tells scary stories.
EventB: The listeners feel creeped out yet eager for more.",xAttr
19770,PersonX spends hours playing with the new puppy.,xReact
19771,PersonX is greeted with warm hugs.,xAttr
19772,PersonY feels relieved.,oWant
19773,PersonX is ordering a salad for lunch.,xIntent
19774,PersonX supports PersonY family == He eats over there.,xWant
19775,PersonX takes a nap.,xReact
19776,PersonX enjoys painting so much.,xIntent
19777,PersonX apologizes to PersonY.,xReact
19778,The waiter explains the menu.,xEffect
19779,PersonY listens to PersonX and wonders what PersonX will do.,oWant
19780,PersonX makes sure they aren't hallucinating.,xWant
19781,PersonX never played the piano.,xEffect
19782,PersonX feels helpless and overwhelmed,oReact
19783,PersonX likes extreme sports.,xAttr
19784,PersonX eats a slice.,xIntent
19785,PersonX pulls PersonY towards PersonY == PersonY is startled.,oReact
19786,PersonX reaches the finish line.,xReact
19787,PersonX takes a commission from the sale.,xAttr
19788,PersonX frightens away a group of tourists.,xReact
19789,PersonX returns the lost wallet to its owner.,xAttr
19790,PersonX surprises PersonY.,xIntent
19791,PersonX views the situation differently.,xWant
19792,PersonY reveals that they loved the new movie.,xIntent
19793,PersonX breaks the ice == happy that they started a conversation.,xReact
19794,PersonX hears their favorite song.,xIntent
19795,PersonY thanks PersonX.,oWant
19796,PersonX plays for hours to relax and have a good time.,xIntent
19797,PersonX is grateful to be alive.,xAttr
19798,PersonX sets up the fan.,xReact
19799,PersonX joins a gym.,xNeed
19800,PersonX admits new members into the union.,oWant
19801,PersonX thanks PersonY for their advice.,xAttr
19802,PersonX rats run because they enjoy the exercise.,xWant
19803,PersonX puts it up for sale == to show it off.,xWant
19804,PersonX tries sushi for the first time.,xEffect
19805,PersonX admits PersonY was wrong and listens to their explanation.,oEffect
19806,PersonX goes to ask out their crush.,xEffect
19807,The gun was fired.,xEffect
19808,PersonX camps with friends to roast marshmallows and tell scary stories.,oWant
19809,PersonX receives a receipt from PersonY.,xAttr
19810,PersonX buys new clothes.,xEffect
19811,PersonX feeds stray cats every day.,xAttr
19812,PersonY feels accomplished.,xAttr
19813,PersonX speaks to him.,xEffect
19814,The item is closer to person Y.,oEffect
19815,PersonX reaches their destination successfully.,xAttr
19816,PersonX breaks their arm.,xReact
19817,PersonX reflects on the experience fondly.,xAttr
19818,PersonY may get injured.,xNeed
19819,PersonX walks forward to approach PersonY.,xNeed
19820,PersonX decides to invite his friends to join them.,xNeed
19821,PersonX kisses PersonY.,oWant
19822,PersonX feels embarrassed.,xIntent
19823,PersonX throws a party.,xWant
19824,PersonY researches different catering options.,oWant
19825,PersonX gets a perfect score on the math test.,xAttr
19826,PersonX fulfills their promise to PersonY.,xEffect
19827,PersonX responds to the message.,xWant
19828,The citizens are content with the leadership.,xReact
19829,PersonY retaliates by punching PersonX back.,oWant
19830,PersonX apologizes to PersonY father.,xWant
19831,PersonY learns a new skill.,xReact
19832,PersonX opens a law firm.,xWant
19833,PersonX is left feeling confused.,xReact
19834,PersonX wins the bet.,xNeed
19835,PersonX is grateful for PersonY's kindness.,oReact
19836,PersonX goes for a photoshoot.,xWant
19837,PersonY thanks PersonX.,oReact
19838,PersonX plays a piece in the regulation.,xAttr
19839,"PersonX reduces weight by 10 percent. 
EventB: PersonX has more energy, receives many complements.",xEffect
